Day_of_Week,Time_of_Day,Weather,Mood,Social_Context,Location,Sleep_Hours,Work_Intensity,Temperature_Preference,Milk_Type,Sugar_Level,Caffeine_Strength,Cup_Size,Spend_Amount_USD,Coffee_Type
Thursday,Afternoon,Rainy,Tired,Alone,Home,8.3,Medium,Hot,Oat Milk,None,Medium,Medium,6.07,Cappuccino
Saturday,Morning,Cold/Snowy,Relaxed,With Friends,Office,5.0,Medium,Hot,Whole Milk,Medium,Medium,Medium,6.46,Latte
Friday,Afternoon,Sunny,Relaxed,Alone,Office,5.8,Low,Hot,Oat Milk,Low,Strong,Large,4.97,Americano
Saturday,Afternoon,Cold/Snowy,Energetic,With Friends,Home,5.7,Low,Hot,Whole Milk,Medium,Strong,Medium,6.78,Latte
Friday,Evening,Sunny,Energetic,Alone,On-the-Go,10.0,High,Iced,Whole Milk,Medium,Medium,Medium,5.23,Cold Brew
Friday,Evening,Cloudy,Energetic,Alone,Office,5.9,Medium,Iced,Whole Milk,Low,Strong,Medium,4.56,Latte
Saturday,Morning,Cloudy,Tired,With Friends,On-the-Go,9.0,Medium,Hot,Whole Milk,None,Medium,Small,3.04,Espresso
Tuesday,Afternoon,Sunny,Tired,Alone,Cafe,4.6,Low,Iced,Whole Milk,Medium,Medium,Large,4.47,Latte
Thursday,Morning,Rainy,Tired,With Friends,Office,5.0,Low,Hot,None (Black),Low,Light,Large,6.17,Americano
Tuesday,Afternoon,Sunny,Tired,Alone,Office,5.5,Medium,Iced,Whole Milk,High,Light,Small,7.11,Americano
Sunday,Morning,Cloudy,Relaxed,Alone,Cafe,5.2,High,Hot,None (Black),Low,Medium,Medium,3.76,Flat White
Sunday,Morning,Rainy,Tired,Alone,On-the-Go,6.1,High,Iced,None (Black),Medium,Medium,Medium,4.28,Americano
Monday,Morning,Rainy,Tired,Alone,Home,5.4,High,Hot,None (Black),None,Light,Medium,3.27,Americano
Friday,Afternoon,Sunny,Energetic,Alone,On-the-Go,5.3,High,Hot,Oat Milk,Medium,Medium,Medium,5.95,Cold Brew
Sunday,Morning,Sunny,Relaxed,Alone,On-the-Go,8.2,High,Iced,Whole Milk,Low,Medium,Medium,7.3,Latte
Tuesday,Afternoon,Sunny,Tired,Alone,Cafe,8.3,Medium,Hot,Whole Milk,Low,Strong,Medium,5.7,Espresso
Thursday,Morning,Sunny,Tired,With Colleague,On-the-Go,7.9,Low,Hot,None (Black),None,Strong,Small,5.59,Espresso
Sunday,Morning,Rainy,Energetic,Alone,Office,7.3,High,Hot,Whole Milk,None,Medium,Medium,5.27,Espresso
Monday,Afternoon,Cold/Snowy,Stressed,With Friends,On-the-Go,6.6,Low,Iced,None (Black),None,Strong,Medium,2.94,Flat White
Friday,Morning,Cloudy,Stressed,Alone,Cafe,5.8,Medium,Hot,None (Black),Low,Medium,Medium,6.15,Americano
Tuesday,Morning,Rainy,Relaxed,With Colleague,Home,5.1,Low,Hot,Whole Milk,Medium,Medium,Medium,5.51,Latte
Sunday,Afternoon,Cold/Snowy,Melancholic,Alone,On-the-Go,7.0,Medium,Hot,Whole Milk,Low,Strong,Medium,5.81,Cappuccino
Sunday,Morning,Cloudy,Relaxed,Alone,Office,4.7,Medium,Hot,None (Black),Medium,Medium,Medium,6.99,Cappuccino
Sunday,Morning,Cold/Snowy,Stressed,Alone,Office,5.0,Low,Hot,Whole Milk,None,Medium,Medium,6.42,Espresso
Thursday,Morning,Rainy,Energetic,Alone,Office,8.2,Medium,Iced,Oat Milk,Low,Medium,Medium,6.4,Latte
Saturday,Evening,Sunny,Tired,With Friends,Home,9.4,High,Hot,None (Black),Low,Medium,Medium,7.14,Cappuccino
Saturday,Afternoon,Sunny,Melancholic,Alone,Office,7.1,Medium,Hot,None (Black),High,Medium,Medium,7.45,Flat White
Wednesday,Afternoon,Cloudy,Energetic,On a Date,Cafe,8.2,High,Hot,Whole Milk,Medium,Strong,Medium,5.41,Americano
Saturday,Afternoon,Sunny,Tired,Alone,Home,6.1,Low,Hot,None (Black),Low,Medium,Medium,3.04,Americano
Monday,Morning,Sunny,Stressed,Alone,Home,4.5,Low,Iced,Almond Milk,Medium,Strong,Small,4.8,Espresso
Friday,Morning,Rainy,Tired,With Friends,Home,7.4,Medium,Hot,Whole Milk,None,Strong,Small,6.44,Americano
Tuesday,Afternoon,Rainy,Stressed,Alone,Office,7.4,Medium,Iced,Whole Milk,Low,Medium,Medium,2.64,Flat White
Monday,Morning,Rainy,Stressed,With Colleague,Cafe,6.6,Medium,Hot,Whole Milk,None,Medium,Small,2.78,Espresso
Monday,Morning,Sunny,Energetic,Alone,Cafe,6.1,High,Hot,Whole Milk,Low,Medium,Medium,2.84,Latte
Friday,Morning,Sunny,Relaxed,With Friends,On-the-Go,7.9,High,Hot,None (Black),None,Medium,Large,6.16,Americano
Wednesday,Morning,Rainy,Tired,Alone,Office,5.0,High,Iced,Almond Milk,Medium,Light,Small,5.01,Americano
Friday,Night,Cold/Snowy,Energetic,With Colleague,Home,5.3,Medium,Iced,Whole Milk,Low,Strong,Large,4.34,Decaf Latte
Monday,Morning,Cloudy,Energetic,With Friends,On-the-Go,5.0,Low,Hot,None (Black),Medium,Strong,Small,3.03,Americano
Wednesday,Afternoon,Cold/Snowy,Stressed,Alone,Cafe,6.6,Medium,Iced,Whole Milk,Low,Medium,Medium,6.16,Latte
Thursday,Morning,Cloudy,Relaxed,Alone,Office,4.9,Low,Hot,None (Black),None,Medium,Medium,4.11,Latte
Saturday,Night,Rainy,Energetic,Alone,Cafe,5.5,Medium,Iced,None (Black),Medium,Light,Large,3.83,Macchiato
Wednesday,Morning,Sunny,Stressed,On a Date,On-the-Go,5.4,Low,Iced,Whole Milk,Medium,Medium,Small,5.76,Espresso
Friday,Morning,Cloudy,Tired,Alone,Cafe,6.1,Medium,Iced,Whole Milk,High,Strong,Medium,5.3,Espresso
Sunday,Afternoon,Rainy,Melancholic,Alone,Office,4.3,Low,Iced,Whole Milk,Low,Strong,Small,4.31,Cappuccino
Friday,Afternoon,Rainy,Energetic,Alone,Cafe,6.6,Low,Iced,None (Black),Medium,Medium,Medium,5.71,Flat White
Tuesday,Morning,Rainy,Stressed,Alone,Home,8.4,Medium,Iced,Whole Milk,Medium,Medium,Large,3.86,Espresso
Monday,Morning,Rainy,Tired,With Friends,Office,6.7,Medium,Hot,None (Black),None,Medium,Medium,6.47,Americano
Saturday,Morning,Sunny,Tired,On a Date,Office,8.8,Medium,Hot,Whole Milk,None,Medium,Medium,3.65,Espresso
Monday,Morning,Rainy,Energetic,Alone,Home,8.5,Medium,Hot,Whole Milk,None,Light,Medium,3.29,Cold Brew
Saturday,Morning,Sunny,Relaxed,With Colleague,Home,7.7,Low,Iced,Whole Milk,Low,Medium,Large,6.41,Flat White
Thursday,Morning,Cloudy,Energetic,Alone,Home,6.6,Medium,Hot,Oat Milk,Low,Medium,Medium,6.04,Cappuccino
Sunday,Morning,Sunny,Melancholic,Alone,Cafe,6.5,Low,Hot,Oat Milk,High,Decaf,Small,3.41,Latte
Saturday,Morning,Sunny,Energetic,Alone,Cafe,7.6,High,Iced,Almond Milk,Low,Light,Large,3.08,Latte
Sunday,Afternoon,Rainy,Energetic,With Friends,On-the-Go,5.9,Medium,Iced,Almond Milk,Medium,Light,Medium,6.69,Espresso
Wednesday,Night,Cloudy,Tired,On a Date,Office,3.7,Low,Hot,Oat Milk,Medium,Medium,Small,6.38,Decaf Latte
Saturday,Afternoon,Rainy,Relaxed,With Colleague,Office,7.2,Medium,Hot,Almond Milk,None,Medium,Small,4.14,Cappuccino
Wednesday,Morning,Sunny,Tired,Alone,On-the-Go,4.8,High,Hot,Oat Milk,None,Medium,Medium,5.79,Espresso
Thursday,Morning,Rainy,Relaxed,Alone,Home,5.1,Medium,Hot,Whole Milk,Low,Medium,Medium,3.12,Cappuccino
Friday,Night,Sunny,Melancholic,Alone,Cafe,6.5,High,Iced,None (Black),Medium,Strong,Medium,5.04,Decaf Latte
Saturday,Morning,Cold/Snowy,Melancholic,With Colleague,Cafe,6.4,Medium,Iced,None (Black),High,Light,Medium,2.59,Cold Brew
Sunday,Morning,Cold/Snowy,Energetic,With Colleague,Home,4.4,Low,Hot,Oat Milk,Low,Medium,Medium,4.46,Cold Brew
Saturday,Afternoon,Rainy,Stressed,With Colleague,On-the-Go,6.7,High,Hot,Whole Milk,Medium,Strong,Large,2.87,Cappuccino
Wednesday,Afternoon,Sunny,Relaxed,Alone,Cafe,7.9,Medium,Iced,Oat Milk,Low,Medium,Medium,4.88,Flat White
Wednesday,Afternoon,Cloudy,Tired,Alone,Home,4.8,Medium,Hot,None (Black),Medium,Medium,Medium,4.61,Americano
Friday,Morning,Sunny,Stressed,Alone,Home,8.4,Medium,Hot,Whole Milk,Low,Medium,Medium,4.72,Americano
Tuesday,Morning,Rainy,Tired,Alone,Home,4.2,Medium,Iced,Whole Milk,None,Decaf,Medium,2.73,Espresso
Monday,Night,Sunny,Energetic,Alone,Office,9.7,Medium,Iced,Almond Milk,None,Medium,Medium,4.31,Decaf Latte
Wednesday,Morning,Cold/Snowy,Tired,Alone,Office,5.9,Medium,Hot,None (Black),None,Medium,Medium,6.28,Americano
Tuesday,Afternoon,Sunny,Tired,Alone,Office,6.7,Medium,Iced,Oat Milk,Low,Light,Small,4.34,Espresso
Tuesday,Afternoon,Rainy,Energetic,With Colleague,Home,3.7,High,Hot,Oat Milk,Medium,Medium,Medium,6.08,Cappuccino
Tuesday,Afternoon,Cloudy,Energetic,With Colleague,On-the-Go,6.4,Medium,Hot,None (Black),None,Strong,Medium,4.35,Cappuccino
Monday,Morning,Rainy,Stressed,Alone,Office,6.8,Medium,Hot,Whole Milk,Medium,Light,Small,4.62,Espresso
Monday,Morning,Sunny,Tired,Alone,Home,6.4,Medium,Hot,None (Black),None,Medium,Small,5.32,Espresso
Sunday,Afternoon,Cold/Snowy,Energetic,Alone,Office,5.7,High,Hot,None (Black),Medium,Medium,Medium,7.25,Cappuccino
Wednesday,Evening,Rainy,Tired,With Friends,Office,5.1,Medium,Hot,Whole Milk,Medium,Strong,Medium,3.04,Americano
Wednesday,Evening,Rainy,Stressed,With Colleague,Office,8.2,Medium,Iced,None (Black),Medium,Strong,Large,2.66,Cappuccino
Friday,Morning,Sunny,Stressed,With Colleague,Home,6.5,High,Hot,None (Black),Low,Strong,Medium,5.54,Americano
Tuesday,Morning,Rainy,Stressed,With Friends,Home,8.8,High,Hot,Oat Milk,None,Medium,Medium,7.25,Espresso
Sunday,Evening,Rainy,Stressed,Alone,Cafe,5.7,Medium,Hot,Whole Milk,Medium,Light,Medium,7.45,Americano
Saturday,Afternoon,Sunny,Tired,Alone,On-the-Go,5.8,Medium,Hot,Whole Milk,None,Medium,Small,4.92,Americano
Monday,Evening,Sunny,Relaxed,Alone,Office,7.7,Medium,Hot,None (Black),None,Medium,Small,4.84,Cappuccino
Wednesday,Morning,Cloudy,Energetic,Alone,Office,4.1,Medium,Hot,Oat Milk,None,Medium,Medium,5.72,Cappuccino
Saturday,Afternoon,Sunny,Energetic,With Colleague,Office,4.7,High,Iced,Oat Milk,Medium,Strong,Medium,5.28,Frappuccino
Sunday,Afternoon,Sunny,Stressed,Alone,Cafe,8.1,High,Hot,Whole Milk,Medium,Medium,Medium,5.67,Cappuccino
Thursday,Afternoon,Rainy,Tired,Alone,Office,4.7,Low,Hot,Almond Milk,Medium,Medium,Medium,6.87,Cold Brew
Friday,Morning,Cloudy,Stressed,Alone,On-the-Go,3.8,Medium,Hot,Oat Milk,Low,Medium,Small,6.23,Americano
Tuesday,Morning,Sunny,Stressed,On a Date,Office,9.3,Medium,Hot,Whole Milk,None,Light,Medium,4.98,Americano
Sunday,Afternoon,Rainy,Tired,Alone,Office,4.4,High,Iced,Whole Milk,High,Medium,Medium,4.81,Espresso
Tuesday,Morning,Sunny,Tired,With Friends,Office,6.8,Medium,Hot,None (Black),Low,Medium,Medium,5.7,Americano
Sunday,Morning,Sunny,Tired,Alone,On-the-Go,6.6,Medium,Hot,None (Black),Low,Strong,Medium,4.78,Espresso
Friday,Night,Sunny,Melancholic,Alone,Cafe,3.0,Low,Iced,None (Black),Low,Medium,Large,4.79,Macchiato
Friday,Morning,Cloudy,Stressed,Alone,Home,6.1,Medium,Hot,None (Black),None,Strong,Large,2.58,Espresso
Thursday,Evening,Sunny,Tired,With Friends,Office,7.2,Low,Hot,None (Black),None,Medium,Large,3.37,Latte
Tuesday,Morning,Sunny,Energetic,Alone,Office,7.0,High,Iced,Oat Milk,Low,Light,Small,4.94,Cappuccino
Tuesday,Afternoon,Rainy,Stressed,With Colleague,Office,7.9,High,Iced,None (Black),None,Light,Small,6.61,Americano
Tuesday,Night,Cloudy,Relaxed,Alone,Cafe,5.9,Medium,Hot,Almond Milk,None,Light,Small,3.89,Cappuccino
Tuesday,Morning,Sunny,Tired,Alone,Cafe,7.6,Medium,Hot,Whole Milk,Medium,Medium,Medium,5.11,Americano
Saturday,Morning,Rainy,Tired,On a Date,Cafe,5.5,High,Iced,None (Black),Low,Decaf,Medium,4.22,Espresso
Wednesday,Morning,Sunny,Relaxed,Alone,On-the-Go,4.4,Medium,Hot,Whole Milk,Low,Medium,Medium,3.02,Cold Brew
Monday,Morning,Rainy,Tired,With Friends,Home,4.6,Low,Hot,None (Black),Medium,Strong,Medium,7.29,Espresso
Sunday,Afternoon,Rainy,Tired,With Colleague,On-the-Go,4.3,High,Hot,Almond Milk,High,Medium,Large,6.77,Cappuccino
Sunday,Evening,Rainy,Melancholic,Alone,Cafe,8.0,High,Hot,Oat Milk,None,Strong,Large,2.89,Latte
Sunday,Morning,Sunny,Stressed,With Friends,Office,4.2,High,Hot,None (Black),Medium,Light,Small,6.1,Espresso
Sunday,Morning,Sunny,Tired,Alone,Cafe,6.9,Low,Hot,Almond Milk,Low,Medium,Large,4.24,Espresso
Tuesday,Morning,Sunny,Tired,Alone,Home,6.1,Low,Iced,Whole Milk,None,Medium,Medium,7.47,Americano
Wednesday,Afternoon,Sunny,Tired,Alone,Cafe,6.3,Low,Hot,None (Black),None,Strong,Medium,4.01,Cappuccino
Saturday,Morning,Sunny,Tired,With Colleague,Office,8.5,Low,Hot,Whole Milk,Low,Light,Medium,3.69,Americano
Friday,Afternoon,Cloudy,Relaxed,Alone,Home,5.8,High,Hot,Whole Milk,Medium,Medium,Small,5.34,Cappuccino
Tuesday,Afternoon,Cold/Snowy,Energetic,With Friends,Cafe,7.4,Low,Iced,None (Black),None,Medium,Large,6.68,Latte
Saturday,Afternoon,Cold/Snowy,Stressed,On a Date,Office,6.6,Medium,Hot,Oat Milk,Low,Medium,Medium,3.46,Americano
Tuesday,Morning,Cold/Snowy,Melancholic,Alone,Home,6.3,Medium,Hot,None (Black),Medium,Strong,Large,6.05,Latte
Tuesday,Afternoon,Rainy,Energetic,Alone,Home,9.9,Medium,Hot,Whole Milk,Low,Light,Large,2.81,Cold Brew
Thursday,Morning,Cloudy,Tired,Alone,Office,4.3,High,Hot,None (Black),Medium,Medium,Medium,7.09,Americano
Friday,Morning,Sunny,Energetic,Alone,Office,8.4,Low,Iced,Almond Milk,Medium,Strong,Small,2.91,Cappuccino
Thursday,Evening,Rainy,Melancholic,Alone,On-the-Go,7.5,Medium,Hot,Oat Milk,Low,Medium,Small,7.07,Americano
Monday,Afternoon,Rainy,Relaxed,With Friends,On-the-Go,5.8,Medium,Hot,None (Black),High,Medium,Medium,4.95,Latte
Saturday,Morning,Rainy,Tired,On a Date,Office,8.9,Low,Iced,None (Black),None,Decaf,Small,4.74,Americano
Tuesday,Morning,Cloudy,Stressed,On a Date,Cafe,3.7,Medium,Hot,None (Black),None,Strong,Large,7.37,Americano
Monday,Morning,Sunny,Stressed,With Colleague,Office,5.7,Medium,Hot,Oat Milk,Low,Strong,Medium,7.45,Americano
Sunday,Morning,Sunny,Melancholic,With Colleague,Cafe,4.7,Medium,Hot,None (Black),Medium,Medium,Large,5.75,Cappuccino
Sunday,Morning,Cold/Snowy,Tired,Alone,Home,7.1,High,Hot,Oat Milk,Medium,Strong,Medium,3.14,Espresso
Saturday,Morning,Sunny,Energetic,With Friends,Office,4.8,Medium,Hot,Almond Milk,Low,Medium,Small,5.03,Americano
Saturday,Morning,Rainy,Relaxed,With Colleague,Office,7.1,Low,Hot,Whole Milk,None,Light,Medium,5.15,Flat White
Friday,Afternoon,Cold/Snowy,Energetic,Alone,Home,6.2,Medium,Hot,None (Black),None,Decaf,Medium,5.07,Flat White
Thursday,Afternoon,Rainy,Energetic,On a Date,Cafe,5.8,Low,Hot,Whole Milk,Medium,Medium,Medium,5.35,Cappuccino
Monday,Afternoon,Rainy,Tired,Alone,Cafe,7.1,Medium,Iced,Whole Milk,Medium,Medium,Medium,2.59,Espresso
Wednesday,Morning,Sunny,Tired,With Friends,Office,6.1,Medium,Iced,Whole Milk,Medium,Strong,Small,6.06,Americano
Wednesday,Night,Sunny,Tired,With Friends,Office,4.9,Low,Iced,Whole Milk,Medium,Medium,Medium,6.06,Decaf Latte
Tuesday,Evening,Cold/Snowy,Melancholic,On a Date,On-the-Go,10.0,High,Hot,Whole Milk,Low,Strong,Medium,3.08,Cold Brew
Friday,Evening,Rainy,Tired,Alone,Cafe,5.8,High,Iced,Whole Milk,None,Medium,Medium,5.35,Cappuccino
Thursday,Evening,Rainy,Energetic,With Friends,Home,3.2,High,Hot,Oat Milk,Low,Medium,Large,5.34,Cappuccino
Monday,Evening,Sunny,Stressed,Alone,Office,5.2,Medium,Hot,None (Black),Medium,Medium,Medium,5.91,Latte
Tuesday,Afternoon,Sunny,Tired,Alone,Cafe,4.6,Medium,Hot,Whole Milk,Low,Medium,Small,2.93,Americano
Friday,Morning,Cold/Snowy,Energetic,With Colleague,Office,7.7,High,Hot,Oat Milk,None,Strong,Medium,5.63,Cold Brew
Monday,Afternoon,Sunny,Stressed,With Friends,Home,7.0,Medium,Hot,None (Black),High,Decaf,Large,3.9,Iced Latte
Saturday,Afternoon,Rainy,Relaxed,With Friends,Office,7.1,High,Hot,Whole Milk,Medium,Strong,Medium,5.04,Latte
Thursday,Afternoon,Sunny,Stressed,Alone,On-the-Go,5.9,Low,Hot,Oat Milk,None,Strong,Medium,6.37,Cappuccino
Thursday,Afternoon,Cloudy,Stressed,Alone,Cafe,6.1,Low,Hot,Whole Milk,Medium,Medium,Small,6.03,Americano
Friday,Morning,Cold/Snowy,Tired,With Friends,On-the-Go,5.9,High,Iced,None (Black),High,Medium,Medium,3.09,Espresso
Saturday,Morning,Rainy,Melancholic,Alone,Cafe,6.4,High,Hot,None (Black),None,Light,Medium,5.46,Americano
Wednesday,Evening,Sunny,Tired,Alone,On-the-Go,7.8,High,Hot,None (Black),Low,Medium,Medium,7.35,Latte
Friday,Afternoon,Rainy,Relaxed,On a Date,Home,7.0,High,Iced,None (Black),Low,Light,Medium,3.28,Espresso
Thursday,Afternoon,Cloudy,Tired,Alone,Cafe,7.3,Low,Hot,Almond Milk,Low,Medium,Medium,6.76,Flat White
Tuesday,Morning,Rainy,Melancholic,With Friends,Home,7.2,Low,Hot,Whole Milk,Medium,Light,Small,6.01,Americano
Saturday,Morning,Cold/Snowy,Stressed,Alone,Cafe,7.8,High,Hot,None (Black),Low,Medium,Medium,6.37,Americano
Saturday,Evening,Rainy,Relaxed,Alone,Office,6.9,Low,Iced,Almond Milk,None,Medium,Large,3.91,Flat White
Friday,Afternoon,Cold/Snowy,Tired,Alone,Office,7.0,Medium,Iced,Whole Milk,None,Light,Medium,3.94,Americano
Saturday,Afternoon,Rainy,Energetic,Alone,On-the-Go,8.3,Medium,Hot,None (Black),None,Medium,Large,7.03,Espresso
Saturday,Morning,Sunny,Stressed,Alone,On-the-Go,5.5,Low,Hot,Whole Milk,Low,Strong,Medium,4.3,Americano
Friday,Afternoon,Sunny,Relaxed,Alone,Home,5.2,Medium,Hot,None (Black),Medium,Medium,Medium,2.82,Cappuccino
Saturday,Morning,Sunny,Tired,Alone,Office,4.7,Medium,Hot,Almond Milk,None,Medium,Small,5.5,Espresso
Friday,Afternoon,Cold/Snowy,Melancholic,Alone,Office,6.8,High,Iced,Whole Milk,Medium,Strong,Medium,3.12,Cold Brew
Friday,Morning,Cloudy,Relaxed,Alone,Office,3.7,Medium,Hot,Oat Milk,Medium,Medium,Medium,6.48,Cappuccino
Friday,Morning,Cloudy,Tired,Alone,Cafe,7.2,Medium,Hot,None (Black),None,Strong,Medium,5.71,Americano
Saturday,Afternoon,Sunny,Relaxed,Alone,Office,6.3,Medium,Iced,Oat Milk,Medium,Light,Medium,6.87,Americano
Tuesday,Evening,Sunny,Energetic,On a Date,On-the-Go,8.2,Medium,Hot,None (Black),Medium,Strong,Medium,6.42,Cappuccino
Sunday,Morning,Cloudy,Energetic,With Friends,Home,5.5,Low,Iced,Almond Milk,Low,Medium,Small,3.06,Americano
Saturday,Evening,Rainy,Tired,With Friends,Cafe,6.2,Medium,Iced,Almond Milk,Low,Strong,Large,4.41,Cappuccino
Monday,Morning,Sunny,Stressed,Alone,Cafe,8.2,Low,Hot,Whole Milk,Medium,Medium,Medium,6.37,Americano
Saturday,Morning,Rainy,Stressed,With Colleague,Home,8.6,Low,Iced,Oat Milk,High,Strong,Medium,4.59,Espresso
Monday,Morning,Sunny,Energetic,With Friends,Office,5.5,Medium,Hot,Oat Milk,Low,Strong,Medium,7.36,Flat White
Wednesday,Morning,Sunny,Stressed,With Colleague,Cafe,6.8,Medium,Hot,Almond Milk,Low,Light,Medium,6.18,Espresso
Friday,Afternoon,Rainy,Stressed,Alone,Cafe,6.9,Low,Iced,None (Black),Low,Strong,Small,2.58,Espresso
Tuesday,Morning,Sunny,Stressed,On a Date,Office,7.1,Medium,Hot,Whole Milk,None,Light,Medium,6.9,Americano
Saturday,Morning,Cold/Snowy,Tired,With Colleague,Office,6.1,Medium,Hot,Oat Milk,Low,Light,Medium,3.0,Espresso
Saturday,Evening,Sunny,Relaxed,With Colleague,Home,8.4,Low,Hot,Oat Milk,Low,Medium,Medium,3.2,Espresso
Thursday,Morning,Sunny,Energetic,Alone,Home,3.7,High,Hot,Whole Milk,None,Strong,Small,6.17,Latte
Monday,Afternoon,Sunny,Tired,Alone,Office,5.9,Low,Hot,Oat Milk,Low,Medium,Small,6.82,Cold Brew
Tuesday,Morning,Cloudy,Tired,Alone,Home,7.2,High,Hot,None (Black),None,Medium,Small,5.18,Espresso
Friday,Afternoon,Rainy,Energetic,Alone,Cafe,7.2,Low,Hot,Oat Milk,Low,Medium,Medium,3.95,Flat White
Sunday,Morning,Rainy,Relaxed,With Colleague,Cafe,8.5,High,Hot,None (Black),None,Strong,Large,4.26,Flat White
Friday,Morning,Sunny,Energetic,Alone,On-the-Go,8.3,Low,Iced,None (Black),None,Strong,Medium,4.21,Latte
Tuesday,Morning,Sunny,Stressed,Alone,Cafe,6.1,High,Hot,Whole Milk,Medium,Light,Medium,4.13,Espresso
Friday,Morning,Rainy,Tired,Alone,On-the-Go,8.4,Medium,Hot,Whole Milk,High,Medium,Medium,3.71,Americano
Thursday,Morning,Cloudy,Energetic,Alone,Office,5.4,Medium,Hot,Whole Milk,None,Light,Medium,5.54,Americano
Saturday,Afternoon,Cold/Snowy,Melancholic,Alone,Office,7.9,Medium,Hot,Whole Milk,Low,Medium,Small,7.0,Latte
Monday,Evening,Sunny,Relaxed,With Colleague,On-the-Go,9.2,Low,Hot,None (Black),None,Light,Small,4.04,Latte
Saturday,Evening,Rainy,Tired,With Friends,Office,8.3,High,Hot,None (Black),Low,Medium,Medium,3.43,Americano
Thursday,Afternoon,Cold/Snowy,Energetic,Alone,Home,6.7,Low,Hot,Oat Milk,Low,Strong,Large,6.69,Latte
Sunday,Morning,Sunny,Tired,Alone,Cafe,6.0,High,Iced,Whole Milk,None,Medium,Medium,6.21,Americano
Wednesday,Morning,Cloudy,Energetic,Alone,On-the-Go,4.2,Low,Hot,Whole Milk,Medium,Medium,Small,7.15,Cold Brew
Friday,Morning,Sunny,Relaxed,Alone,Cafe,7.0,Medium,Hot,Whole Milk,None,Medium,Medium,3.33,Flat White
Sunday,Morning,Cold/Snowy,Relaxed,With Friends,Office,4.8,Medium,Hot,Almond Milk,None,Light,Small,3.22,Latte
Monday,Afternoon,Cloudy,Tired,With Friends,Cafe,5.3,Medium,Hot,Whole Milk,Medium,Medium,Small,5.21,Latte
Sunday,Afternoon,Cold/Snowy,Melancholic,With Friends,On-the-Go,4.7,Low,Hot,None (Black),Medium,Medium,Medium,5.57,Americano
Friday,Morning,Cloudy,Stressed,With Friends,Home,5.8,High,Hot,Oat Milk,Low,Strong,Medium,4.9,Americano
Monday,Morning,Sunny,Energetic,Alone,Cafe,6.5,High,Hot,Almond Milk,Low,Medium,Medium,5.49,Cappuccino
Wednesday,Evening,Cold/Snowy,Energetic,On a Date,Home,6.9,High,Iced,Whole Milk,Low,Medium,Medium,3.4,Cappuccino
Friday,Afternoon,Sunny,Stressed,With Colleague,Office,5.6,Medium,Hot,Almond Milk,Low,Strong,Medium,4.9,Iced Latte
Monday,Morning,Sunny,Stressed,With Colleague,Office,8.1,Medium,Iced,Whole Milk,Low,Strong,Medium,5.79,Americano
Thursday,Evening,Cloudy,Energetic,Alone,Home,6.2,Medium,Iced,Whole Milk,Low,Strong,Medium,4.66,Americano
Wednesday,Night,Cloudy,Energetic,On a Date,Home,5.3,Medium,Hot,None (Black),Low,Strong,Medium,5.9,Decaf Latte
Friday,Morning,Cold/Snowy,Tired,With Colleague,Office,6.8,High,Hot,Whole Milk,Medium,Strong,Small,4.76,Espresso
Monday,Morning,Sunny,Relaxed,With Colleague,Home,9.4,Medium,Hot,None (Black),Medium,Medium,Medium,4.17,Espresso
Saturday,Afternoon,Cloudy,Energetic,Alone,Home,7.0,Medium,Hot,None (Black),Low,Strong,Large,4.02,Americano
Sunday,Evening,Cloudy,Tired,With Friends,Cafe,6.0,Medium,Iced,None (Black),Low,Medium,Small,4.55,Espresso
Sunday,Evening,Sunny,Relaxed,On a Date,Office,4.2,Medium,Hot,None (Black),Low,Medium,Large,2.62,Cold Brew
Friday,Morning,Sunny,Melancholic,With Friends,Office,6.2,High,Iced,Whole Milk,Low,Medium,Small,5.84,Espresso
Monday,Morning,Sunny,Melancholic,With Friends,On-the-Go,6.9,Medium,Iced,Whole Milk,Low,Light,Medium,6.73,Americano
Saturday,Afternoon,Sunny,Energetic,On a Date,Home,5.9,Medium,Hot,None (Black),Medium,Light,Medium,4.27,Frappuccino
Monday,Afternoon,Cold/Snowy,Tired,Alone,Office,4.0,High,Hot,Almond Milk,Medium,Light,Medium,2.73,Flat White
Monday,Morning,Rainy,Energetic,With Friends,Office,5.2,Medium,Hot,None (Black),Medium,Light,Small,7.43,Cappuccino
Wednesday,Evening,Cloudy,Tired,Alone,Cafe,8.7,Low,Iced,Whole Milk,Medium,Strong,Medium,3.82,Latte
Thursday,Afternoon,Cold/Snowy,Melancholic,On a Date,On-the-Go,8.7,Low,Iced,None (Black),High,Strong,Large,3.13,Cold Brew
Saturday,Evening,Sunny,Tired,Alone,On-the-Go,5.2,Low,Hot,None (Black),Medium,Medium,Small,4.35,Latte
Friday,Evening,Cloudy,Tired,Alone,Cafe,7.5,Medium,Hot,None (Black),High,Strong,Large,6.19,Flat White
Wednesday,Afternoon,Rainy,Energetic,With Friends,Home,4.7,High,Hot,Whole Milk,None,Light,Medium,3.97,Latte
Tuesday,Morning,Cold/Snowy,Energetic,With Colleague,Home,8.6,Medium,Iced,Oat Milk,None,Strong,Large,5.37,Flat White
Sunday,Afternoon,Sunny,Relaxed,With Friends,Office,6.9,Medium,Iced,None (Black),Low,Medium,Small,4.58,Iced Latte
